Z,Element,BindingEnergy,Q
1,H,13.59843449,0
2,He,54.417765,1
3,Li,122.4543581,2
4,Be,217.7185843,3
5,B,340.22602,4
6,C,489.993194,5
7,N,667.046116,6
8,O,871.40988,7
9,F,1103.11747,8
10,Ne,1362.19915,9
11,Na,1648.70218,10
12,Mg,1962.66365,11
13,Al,2304.14005,12
14,Si,2673.17753,13
15,P,3069.8415,14
16,S,3494.1879,15
17,Cl,3946.2909,16
18,Ar,4426.2228,17
19,K,4934.0483,18
20,Ca,5469.8615,19
21,Sc,6033.7542,20
22,Ti,6625.8073,21
23,V,7246.1225,22
24,Cr,7894.7992,23
25,Mn,8571.9488,24
26,Fe,9277.6817,25
27,Co,10012.122,26
28,Ni,10775.386,27
29,Cu,11567.613,28
30,Zn,12388.929,29
31,Ga,13239.489,30
32,Ge,14119.43,31
33,As,15028.907,32
34,Se,15968.083,33
35,Br,16937.127,34
36,Kr,17936.209,35
37,Rb,18965.516,36
38,Sr,20025.233,37
39,Y,21115.55,38
40,Zr,22236.677,39
41,Nb,23388.801,40
42,Mo,24572.155,41
43,Tc,25786.99,42
44,Ru,27033.502,43
45,Rh,28311.965,44
46,Pd,29622.6,45
47,Ag,30965.698,46
48,Cd,32341.49,47
49,In,33750.31,48
50,Sn,35192.39,49
51,Sb,36668.05,50
52,Te,38177.56,51
53,I,39721.41,52
54,Xe,41299.71,53
55,Cs,42912.99,54
56,Ba,44561.47,55
57,La,46245.6,56
58,Ce,47965.72,57
59,Pr,49722.25,58
60,Nd,51515.58,59
61,Pm,53346.1,60
62,Sm,55214.23,61
63,Eu,57120.64,62
64,Gd,59065.53,63
65,Tb,61049.65,64
66,Dy,63073.5,65
67,Ho,65136.8,66
68,Er,67241.8,67
69,Tm,69387.3,68
70,Yb,71574.8,69
71,Lu,73804.8,70
72,Hf,76077.8,71
73,Ta,78394.7,72
74,W,80755.6,73
75,Re,83162.3,74
76,Os,85614.4,75
77,Ir,88113.3,76
78,Pt,90659.7,77
79,Au,93254.3,78
80,Hg,95897.7,79
81,Tl,98591.6,80
82,Pb,101336.4,81
83,Bi,104132.8,82
84,Po,106982.7,83
85,At,109886,84
86,Rn,112843.7,85
87,Fr,115859,86
88,Ra,118931.3,87
89,Ac,122062.9,88
90,Th,125253.4,89
91,Pa,128507.1,90
92,U,131821,91
93,Np,135202,92
94,Pu,138646,93
95,Am,142161,94
96,Cm,145743,95
97,Bk,149398,96
98,Cf,153124,97
99,Es,156926,98
100,Fm,160804,99
101,Md,164764,100
102,No,168806,101
103,Lr,172930,102
104,Rf,177148,103
105,Db,181444,104
106,Sg,185839,105
107,Bh,190331,106
108,Hs,194917,107
109,Mt,199606,108
110,Ds,204400,109
2,He,79.0051538,0
3,Li,198.0944545,1
4,Be,371.614787,2
5,B,599.5975,3
6,C,882.08371,4
7,N,1219.11344,5
8,O,1610.7367,6
9,F,2057.01551,7
10,Ne,2558.00698,8
11,Na,3113.83667,9
12,Mg,3724.46851,10
13,Al,4390.117,11
14,Si,5110.8357,12
15,P,5886.7504,13
16,S,6717.9686,14
17,Cl,7604.6347,15
18,Ar,8546.8885,16
19,K,9544.9185,17
20,Ca,10598.7193,18
21,Sc,11708.6578,19
22,Ti,12874.8298,20
23,V,14097.4333,21
24,Cr,15376.662,22
25,Mn,16712.736,23
26,Fe,18105.869,24
27,Co,19556.305,25
28,Ni,21064.272,26
29,Cu,22630.045,27
30,Zn,24253.868,28
31,Ga,25936.046,29
32,Ge,27676.85,30
33,As,29476.586,31
34,Se,31335.575,32
35,Br,33254.138,33
36,Kr,35232.629,34
37,Rb,37271.399,35
38,Sr,39370.821,36
39,Y,41531.267,37
40,Zr,43753.147,38
41,Nb,46036.846,39
42,Mo,48382.81,40
43,Tc,50791.52,41
44,Ru,53263.4,42
45,Rh,55798.95,43
46,Pd,58398.64,44
47,Ag,61063.02,45
48,Cd,63792.55,46
49,In,66587.9,47
50,Sn,69449.54,48
51,Sb,72378.08,49
52,Te,75374.09,50
53,I,78438.4,51
54,Xe,81571.44,52
55,Cs,84774.06,53
56,Ba,88046.83,54
57,La,91390.59,55
58,Ce,94806.03,56
59,Pr,98293.96,57
60,Nd,101855.18,58
61,Pm,105490.39,59
62,Sm,109200.35,60
63,Eu,112986.55,61
64,Gd,116849.43,62
65,Tb,120788.9,63
66,Dy,124810.1,64
67,Ho,128909.2,65
68,Er,133090.1,66
69,Tm,137352.7,67
70,Yb,141697.8,68
71,Lu,146127.8,69
72,Hf,150643.8,70
73,Ta,155246.7,71
74,W,159937.5,72
75,Re,164719.2,73
76,Os,169590.7,74
77,Ir,174552.3,75
78,Pt,179614.9,76
79,Au,184770.2,77
80,Hg,190022.4,78
81,Tl,195374.8,79
82,Pb,200828.2,80
83,Bi,206384.6,81
84,Po,212047.1,82
85,At,217809.4,83
86,Rn,223685.7,84
87,Fr,229676.3,85
88,Ra,235780,86
89,Ac,242001.5,87
90,Th,248339.9,88
91,Pa,254804,89
92,U,261392,90
93,Np,268105,91
94,Pu,274946,92
95,Am,281930,93
96,Cm,289043,94
97,Bk,296302,95
98,Cf,303704,96
99,Es,311254,97
100,Fm,318957,98
